field_name,field_type
Pivot.M.Classic.S3Pivot.M.Classic.S3Pivot.M.Classic.S3|1Pivot.M.Classic.S3|5Pivot.M.Classic.S3|15Pivot.M.Classic.S3|30Pivot.M.Classic.S3|60Pivot.M.Classic.S3|120Pivot.M.Classic.S3|240Pivot.M.Classic.S3|1WPivot.M.Classic.S3|1M,number
Pivot.M.Demark.MiddlePivot.M.Demark.MiddlePivot.M.Demark.Middle|1Pivot.M.Demark.Middle|5Pivot.M.Demark.Middle|15Pivot.M.Demark.Middle|30Pivot.M.Demark.Middle|60Pivot.M.Demark.Middle|120Pivot.M.Demark.Middle|240Pivot.M.Demark.Middle|1WPivot.M.Demark.Middle|1M,number
Pivot.M.Demark.R1Pivot.M.Demark.R1Pivot.M.Demark.R1|1Pivot.M.Demark.R1|5Pivot.M.Demark.R1|15Pivot.M.Demark.R1|30Pivot.M.Demark.R1|60Pivot.M.Demark.R1|120Pivot.M.Demark.R1|240Pivot.M.Demark.R1|1WPivot.M.Demark.R1|1M,number
Pivot.M.Demark.S1Pivot.M.Demark.S1Pivot.M.Demark.S1|1Pivot.M.Demark.S1|5Pivot.M.Demark.S1|15Pivot.M.Demark.S1|30Pivot.M.Demark.S1|60Pivot.M.Demark.S1|120Pivot.M.Demark.S1|240Pivot.M.Demark.S1|1WPivot.M.Demark.S1|1M,number
Pivot.M.Fibonacci.MiddlePivot.M.Fibonacci.MiddlePivot.M.Fibonacci.Middle|1Pivot.M.Fibonacci.Middle|5Pivot.M.Fibonacci.Middle|15Pivot.M.Fibonacci.Middle|30Pivot.M.Fibonacci.Middle|60Pivot.M.Fibonacci.Middle|120Pivot.M.Fibonacci.Middle|240Pivot.M.Fibonacci.Middle|1WPivot.M.Fibonacci.Middle|1M,number
Pivot.M.Fibonacci.R1Pivot.M.Fibonacci.R1Pivot.M.Fibonacci.R1|1Pivot.M.Fibonacci.R1|5Pivot.M.Fibonacci.R1|15Pivot.M.Fibonacci.R1|30Pivot.M.Fibonacci.R1|60Pivot.M.Fibonacci.R1|120Pivot.M.Fibonacci.R1|240Pivot.M.Fibonacci.R1|1WPivot.M.Fibonacci.R1|1M,number
Pivot.M.Fibonacci.R2Pivot.M.Fibonacci.R2Pivot.M.Fibonacci.R2|1Pivot.M.Fibonacci.R2|5Pivot.M.Fibonacci.R2|15Pivot.M.Fibonacci.R2|30Pivot.M.Fibonacci.R2|60Pivot.M.Fibonacci.R2|120Pivot.M.Fibonacci.R2|240Pivot.M.Fibonacci.R2|1WPivot.M.Fibonacci.R2|1M,number
Pivot.M.Fibonacci.R3Pivot.M.Fibonacci.R3Pivot.M.Fibonacci.R3|1Pivot.M.Fibonacci.R3|5Pivot.M.Fibonacci.R3|15Pivot.M.Fibonacci.R3|30Pivot.M.Fibonacci.R3|60Pivot.M.Fibonacci.R3|120Pivot.M.Fibonacci.R3|240Pivot.M.Fibonacci.R3|1WPivot.M.Fibonacci.R3|1M,number
Pivot.M.Fibonacci.S1Pivot.M.Fibonacci.S1Pivot.M.Fibonacci.S1|1Pivot.M.Fibonacci.S1|5Pivot.M.Fibonacci.S1|15Pivot.M.Fibonacci.S1|30Pivot.M.Fibonacci.S1|60Pivot.M.Fibonacci.S1|120Pivot.M.Fibonacci.S1|240Pivot.M.Fibonacci.S1|1WPivot.M.Fibonacci.S1|1M,number
Pivot.M.Fibonacci.S2Pivot.M.Fibonacci.S2Pivot.M.Fibonacci.S2|1Pivot.M.Fibonacci.S2|5Pivot.M.Fibonacci.S2|15Pivot.M.Fibonacci.S2|30Pivot.M.Fibonacci.S2|60Pivot.M.Fibonacci.S2|120Pivot.M.Fibonacci.S2|240Pivot.M.Fibonacci.S2|1WPivot.M.Fibonacci.S2|1M,number
Pivot.M.Fibonacci.S3Pivot.M.Fibonacci.S3Pivot.M.Fibonacci.S3|1Pivot.M.Fibonacci.S3|5Pivot.M.Fibonacci.S3|15Pivot.M.Fibonacci.S3|30Pivot.M.Fibonacci.S3|60Pivot.M.Fibonacci.S3|120Pivot.M.Fibonacci.S3|240Pivot.M.Fibonacci.S3|1WPivot.M.Fibonacci.S3|1M,number
Pivot.M.Woodie.MiddlePivot.M.Woodie.MiddlePivot.M.Woodie.Middle|1Pivot.M.Woodie.Middle|5Pivot.M.Woodie.Middle|15Pivot.M.Woodie.Middle|30Pivot.M.Woodie.Middle|60Pivot.M.Woodie.Middle|120Pivot.M.Woodie.Middle|240Pivot.M.Woodie.Middle|1WPivot.M.Woodie.Middle|1M,number
Pivot.M.Woodie.R1Pivot.M.Woodie.R1Pivot.M.Woodie.R1|1Pivot.M.Woodie.R1|5Pivot.M.Woodie.R1|15Pivot.M.Woodie.R1|30Pivot.M.Woodie.R1|60Pivot.M.Woodie.R1|120Pivot.M.Woodie.R1|240Pivot.M.Woodie.R1|1WPivot.M.Woodie.R1|1M,number
Pivot.M.Woodie.R2Pivot.M.Woodie.R2Pivot.M.Woodie.R2|1Pivot.M.Woodie.R2|5Pivot.M.Woodie.R2|15Pivot.M.Woodie.R2|30Pivot.M.Woodie.R2|60Pivot.M.Woodie.R2|120Pivot.M.Woodie.R2|240Pivot.M.Woodie.R2|1WPivot.M.Woodie.R2|1M,number
Pivot.M.Woodie.R3Pivot.M.Woodie.R3Pivot.M.Woodie.R3|1Pivot.M.Woodie.R3|5Pivot.M.Woodie.R3|15Pivot.M.Woodie.R3|30Pivot.M.Woodie.R3|60Pivot.M.Woodie.R3|120Pivot.M.Woodie.R3|240Pivot.M.Woodie.R3|1WPivot.M.Woodie.R3|1M,number
Pivot.M.Woodie.S1Pivot.M.Woodie.S1Pivot.M.Woodie.S1|1Pivot.M.Woodie.S1|5Pivot.M.Woodie.S1|15Pivot.M.Woodie.S1|30Pivot.M.Woodie.S1|60Pivot.M.Woodie.S1|120Pivot.M.Woodie.S1|240Pivot.M.Woodie.S1|1WPivot.M.Woodie.S1|1M,number
Pivot.M.Woodie.S2Pivot.M.Woodie.S2Pivot.M.Woodie.S2|1Pivot.M.Woodie.S2|5Pivot.M.Woodie.S2|15Pivot.M.Woodie.S2|30Pivot.M.Woodie.S2|60Pivot.M.Woodie.S2|120Pivot.M.Woodie.S2|240Pivot.M.Woodie.S2|1WPivot.M.Woodie.S2|1M,number
Pivot.M.Woodie.S3Pivot.M.Woodie.S3Pivot.M.Woodie.S3|1Pivot.M.Woodie.S3|5Pivot.M.Woodie.S3|15Pivot.M.Woodie.S3|30Pivot.M.Woodie.S3|60Pivot.M.Woodie.S3|120Pivot.M.Woodie.S3|240Pivot.M.Woodie.S3|1WPivot.M.Woodie.S3|1M,number
ADX+DIADX+DIADX+DI|1ADX+DI|5ADX+DI|15ADX+DI|30ADX+DI|60ADX+DI|120ADX+DI|240ADX+DI|1WADX+DI|1M,number
postmarket_change,percent
postmarket_change_abs,price
postmarket_close,price
postmarket_high,price
postmarket_low,price
postmarket_open,price
postmarket_volume,number
premarket_change,percent
premarket_change_abs,price
premarket_change_from_open,percent
premarket_change_from_open_abs,number
premarket_close,price
premarket_gap,percent
premarket_high,price
premarket_low,price
premarket_open,price
premarket_volume,number
pre_tax_margin,percent
price_book_ratio,number
price_book_fq,number
price_free_cash_flow_ttm,number
price_revenue_ttm,number
price_sales_ratio,number
quick_ratio,number
ROCROCROC|1ROC|5ROC|15ROC|30ROC|60ROC|120ROC|240ROC|1WROC|1M,number
earnings_release_date,time
RSI7RSI7RSI7|1RSI7|5RSI7|15RSI7|30RSI7|60RSI7|120RSI7|240RSI7|1WRSI7|1M,number
RSIRSIRSI|1RSI|5RSI|15RSI|30RSI|60RSI|120RSI|240RSI|1WRSI|1M,number
relative_volume_10d_calcrelative_volume_10d_calcrelative_volume_10d_calc|1relative_volume_10d_calc|5relative_volume_10d_calc|15relative_volume_10d_calc|30relative_volume_10d_calc|60relative_volume_10d_calc|120relative_volume_10d_calc|240relative_volume_10d_calc|1Wrelative_volume_10d_calc|1M,number
research_and_dev_ratio_fy,percent
research_and_dev_ratio_ttm,percent
return_on_assets,percent
return_on_equity,percent
return_on_invested_capital,percent
total_revenue_yoy_growth_fy,percent
revenue_per_employee,fundamental_price
total_revenue_qoq_growth_fq,percent
total_revenue_yoy_growth_fq,percent
total_revenue_yoy_growth_ttm,percent
sell_gen_admin_exp_other_ratio_fy,percent
